MindGo research_strategy run log
source_file=/home/jovyan/work/mcp/nextjs-quant/dual_ma_strategy.py
start_date=2024-01-01
end_date=2026-09-17
api_start_date=20240101
api_end_date=20260917
capital_base=1000000
frequency=DAILY
stock_market=STOCK
2026-09-18 12:01:12.156696 - [2024-01-02 00:00:00] - INFO - 000300.SH
2026-09-18 12:01:12.156866 - [2024-01-02 00:00:00] - INFO - 策略初始化完成: symbol=600519.SH, MA5/MA20
2026-09-18 12:01:14.809883 - [2024-02-08 09:31:00] - INFO - 金叉买入 MA5=1644.61 MA20=1632.26
2026-09-18 12:01:17.072222 - [2024-03-11 09:31:00] - INFO - 死叉清仓 MA5=1681.40 MA20=1684.38
2026-09-18 12:01:17.079657 - [2024-03-14 09:31:00] - INFO - 金叉买入 MA5=1704.40 MA20=1697.63
2026-09-18 12:01:17.112099 - [2024-03-29 09:31:00] - INFO - 死叉清仓 MA5=1700.46 MA20=1701.52
2026-09-18 12:01:17.117550 - [2024-04-02 09:31:00] - INFO - 金叉买入 MA5=1707.23 MA20=1704.66
2026-09-18 12:01:17.126872 - [2024-04-09 09:31:00] - INFO - 死叉清仓 MA5=1704.00 MA20=1706.48
2026-09-18 12:01:17.156280 - [2024-04-26 09:31:00] - INFO - 金叉买入 MA5=1680.12 MA20=1679.81
2026-09-18 12:01:17.194594 - [2024-05-20 09:31:00] - INFO - 死叉清仓 MA5=1705.50 MA20=1708.67
2026-09-18 12:01:17.285853 - [2024-07-18 09:31:00] - INFO - 金叉买入 MA5=1478.64 MA20=1472.00
2026-09-18 12:01:17.307624 - [2024-07-29 09:31:00] - INFO - 死叉清仓 MA5=1449.34 MA20=1466.42
2026-09-18 12:01:17.339229 - [2024-08-16 09:31:00] - INFO - 金叉买入 MA5=1427.22 MA20=1427.01
2026-09-18 12:01:17.363150 - [2024-08-28 09:31:00] - INFO - 死叉清仓 MA5=1411.74 MA20=1416.40
2026-09-18 12:01:17.410244 - [2024-09-30 09:31:00] - INFO - 金叉买入 MA5=1438.27 MA20=1380.99
2026-09-18 12:01:17.458403 - [2024-10-29 09:31:00] - INFO - 死叉清仓 MA5=1557.31 MA20=1563.53
2026-09-18 12:01:17.477181 - [2024-11-08 09:31:00] - INFO - 金叉买入 MA5=1575.82 MA20=1555.26
2026-09-18 12:01:17.501057 - [2024-11-20 09:31:00] - INFO - 死叉清仓 MA5=1562.44 MA20=1565.57
2026-09-18 12:01:17.539515 - [2024-12-13 09:31:00] - INFO - 金叉买入 MA5=1537.56 MA20=1529.93
2026-09-18 12:01:17.553795 - [2024-12-20 04:00:00] - INFO - 600519.SH在2024-12-20日发生了分红：每股税前分红23.882
2026-09-18 12:01:17.584570 - [2025-01-06 09:31:00] - INFO - 死叉清仓 MA5=1508.19 MA20=1518.09
2026-09-18 12:01:17.637681 - [2025-02-17 09:31:00] - INFO - 金叉买入 MA5=1446.51 MA20=1445.40
2026-09-18 12:01:17.734032 - [2025-04-03 09:31:00] - INFO - 死叉清仓 MA5=1568.05 MA20=1572.85
2026-09-18 12:01:17.760463 - [2025-04-22 09:31:00] - INFO - 金叉买入 MA5=1560.82 MA20=1560.19
2026-09-18 12:01:17.769509 - [2025-04-25 09:31:00] - INFO - 死叉清仓 MA5=1554.00 MA20=1556.12
2026-09-18 12:01:17.785354 - [2025-05-09 09:31:00] - INFO - 金叉买入 MA5=1554.88 MA20=1554.38
2026-09-18 12:01:17.821318 - [2025-05-27 09:31:00] - INFO - 死叉清仓 MA5=1574.01 MA20=1577.14
2026-09-18 12:01:17.885715 - [2025-07-08 09:31:00] - INFO - 金叉买入 MA5=1412.64 MA20=1411.34
2026-09-18 12:01:17.941786 - [2025-08-04 09:31:00] - INFO - 死叉清仓 MA5=1433.15 MA20=1434.70
2026-09-18 12:01:17.973490 - [2025-08-22 09:31:00] - INFO - 金叉买入 MA5=1437.37 MA20=1432.53
2026-09-18 12:01:18.039015 - [2025-09-23 09:31:00] - INFO - 死叉清仓 MA5=1476.45 MA20=1486.22
2026-09-18 12:01:18.070871 - [2025-10-21 09:31:00] - INFO - 金叉买入 MA5=1462.17 MA20=1458.12
2026-09-18 12:01:18.091712 - [2025-10-30 09:31:00] - INFO - 死叉清仓 MA5=1447.06 MA20=1448.70
2026-09-18 12:01:18.114053 - [2025-11-13 09:31:00] - INFO - 金叉买入 MA5=1450.98 MA20=1447.49
2026-09-18 12:01:18.147091 - [2025-11-28 09:31:00] - INFO - 死叉清仓 MA5=1451.94 MA20=1452.04
2026-09-18 12:01:18.184363 - [2025-12-23 09:31:00] - INFO - 金叉买入 MA5=1406.50 MA20=1405.62
2026-09-18 12:01:18.230989 - [2026-01-16 09:31:00] - INFO - 死叉清仓 MA5=1408.05 MA20=1408.51
2026-09-18 12:01:18.259781 - [2026-02-04 09:31:00] - INFO - 金叉买入 MA5=1412.87 MA20=1389.25
2026-09-18 12:01:18.309656 - [2026-03-04 09:31:00] - INFO - 死叉清仓 MA5=1455.84 MA20=1462.72
2026-09-18 12:01:18.335939 - [2026-03-19 09:31:00] - INFO - 金叉买入 MA5=1443.92 MA20=1442.15
